index,qTypeRaw,qType,story,question,char1,char2,perceivers,story_with_perceivers,persp_ctx,cands,answer
361,first_order_0_no_tom,first_order_no_tom,"['Nathan entered the pantry', 'James entered the pantry', 'The undershirt is in the bucket', 'The bucket is in the pantry', 'Emily entered the den', 'Nathan exited the pantry', 'Nathan entered the pantry', 'James moved the undershirt to the treasure chest', 'The treasure chest is in the pantry']",Where will Nathan look for the undershirt?,Nathan,,"[['Nathan'], ['James', 'Nathan'], ['Nathan', 'James'], ['Nathan', 'James'], ['Emily'], ['Nathan', 'James'], ['Nathan', 'James'], ['James', 'Nathan'], ['James', 'Nathan']]","[{'Nathan entered the pantry': ['Nathan']}, {'James entered the pantry': ['James', 'Nathan']}, {'The undershirt is in the bucket': ['Nathan', 'James']}, {'The bucket is in the pantry': ['Nathan', 'James']}, {'Emily entered the den': ['Emily']}, {'Nathan exited the pantry': ['Nathan', 'James']}, {'Nathan entered the pantry': ['Nathan', 'James']}, {'James moved the undershirt to the treasure chest': ['James', 'Nathan']}, {'The treasure chest is in the pantry': ['James', 'Nathan']}]",Nathan entered the pantry. James entered the pantry. The undershirt is in the bucket. The bucket is in the pantry. Nathan exited the pantry. Nathan entered the pantry. James moved the undershirt to the treasure chest. The treasure chest is in the pantry,"['pantry', 'bucket', 'treasure chest', 'den']",treasure chest
2865,first_order_1_tom,first_order_tom,"['Owen likes the banana', 'Logan entered the closet', 'Owen entered the closet', 'The eggplant is in the box', 'The box is in the closet', 'Owen hates the dress', 'Owen exited the closet', 'Logan moved the eggplant to the bottle', 'The bottle is in the closet', 'Logan exited the closet', 'Owen entered the sunroom']",Where will Owen look for the eggplant?,Owen,,"[['Owen'], ['Logan'], ['Owen', 'Logan'], ['Logan', 'Owen'], ['Logan', 'Owen'], ['Owen'], ['Owen', 'Logan'], ['Logan'], ['Logan'], ['Logan'], ['Owen']]","[{'Owen likes the banana': ['Owen']}, {'Logan entered the closet': ['Logan']}, {'Owen entered the closet': ['Owen', 'Logan']}, {'The eggplant is in the box': ['Logan', 'Owen']}, {'The box is in the closet': ['Logan', 'Owen']}, {'Owen hates the dress': ['Owen']}, {'Owen exited the closet': ['Owen', 'Logan']}, {'Logan moved the eggplant to the bottle': ['Logan']}, {'The bottle is in the closet': ['Logan']}, {'Logan exited the closet': ['Logan']}, {'Owen entered the sunroom': ['Owen']}]",Owen likes the banana. Owen entered the closet. The eggplant is in the box. The box is in the closet. Owen hates the dress. Owen exited the closet. Owen entered the sunroom,"['dress', 'banana', 'sunroom', 'box', 'bottle', 'closet']",box
95,second_order_0_no_tom,second_order_no_tom,"['Isabella entered the master bedroom', 'Jacob entered the master bedroom', 'The undershirt is in the cupboard', 'The cupboard is in the master bedroom', 'Isabella moved the undershirt to the pantry', 'The pantry is in the master bedroom', 'Isabella dislikes the pants', 'Jacob exited the master bedroom', 'Noah dislikes the banana']",Where does Isabella think that Jacob searches for the undershirt?,Isabella,Jacob,"[['Isabella'], ['Jacob', 'Isabella'], ['Isabella', 'Jacob'], ['Isabella', 'Jacob'], ['Isabella', 'Jacob'], ['Isabella', 'Jacob'], ['Isabella'], ['Jacob', 'Isabella'], ['Noah']]","[{'Isabella entered the master bedroom': ['Isabella']}, {'Jacob entered the master bedroom': ['Jacob', 'Isabella']}, {'The undershirt is in the cupboard': ['Isabella', 'Jacob']}, {'The cupboard is in the master bedroom': ['Isabella', 'Jacob']}, {'Isabella moved the undershirt to the pantry': ['Isabella', 'Jacob']}, {'The pantry is in the master bedroom': ['Isabella', 'Jacob']}, {'Isabella dislikes the pants': ['Isabella']}, {'Jacob exited the master bedroom': ['Jacob', 'Isabella']}, {'Noah dislikes the banana': ['Noah']}]",Jacob entered the master bedroom. The undershirt is in the cupboard. The cupboard is in the master bedroom. Isabella moved the undershirt to the pantry. The pantry is in the master bedroom. Jacob exited the master bedroom,"['pantry', 'banana', 'master bedroom', 'cupboard', 'pants']",pantry
1291,second_order_1_tom,second_order_tom,"['Charlotte entered the back yard', 'Liam entered the laundry', 'Liam likes the tie', 'Logan entered the laundry', 'The belt is in the box', 'The box is in the laundry', 'Charlotte exited the back yard', 'Liam exited the laundry', 'Logan moved the belt to the pantry', 'The pantry is in the laundry']",Where does Logan think that Liam searches for the belt?,Logan,Liam,"[['Charlotte'], ['Liam'], ['Liam'], ['Logan', 'Liam'], ['Liam', 'Logan'], ['Liam', 'Logan'], ['Charlotte'], ['Liam', 'Logan'], ['Logan'], ['Logan']]","[{'Charlotte entered the back yard': ['Charlotte']}, {'Liam entered the laundry': ['Liam']}, {'Liam likes the tie': ['Liam']}, {'Logan entered the laundry': ['Logan', 'Liam']}, {'The belt is in the box': ['Liam', 'Logan']}, {'The box is in the laundry': ['Liam', 'Logan']}, {'Charlotte exited the back yard': ['Charlotte']}, {'Liam exited the laundry': ['Liam', 'Logan']}, {'Logan moved the belt to the pantry': ['Logan']}, {'The pantry is in the laundry': ['Logan']}]",Logan entered the laundry. The belt is in the box. The box is in the laundry. Liam exited the laundry,"['laundry', 'pantry', 'box', 'tie', 'back yard']",box
112,first_order_1_no_tom,first_order_no_tom,"['Lucas entered the sunroom', 'Alexander loves the broccoli', 'Chloe loves the boots', 'Chloe is in the sunroom', 'The undershirt is in the bucket', 'The bucket is in the sunroom', 'Chloe moved the undershirt to the basket', 'The basket is in the sunroom', 'Lucas exited the sunroom']",Where will Chloe look for the undershirt?,Chloe,,"[['Lucas'], ['Alexander'], ['Chloe'], [''], [''], ['Chloe', 'Lucas'], ['Chloe', 'Lucas'], ['Lucas', 'Chloe'], ['Lucas', 'Chloe']]","[{'Lucas entered the sunroom': ['Lucas']}, {'Alexander loves the broccoli': ['Alexander']}, {'Chloe loves the boots': ['Chloe']}, {'Chloe is in the sunroom': []}, {'The undershirt is in the bucket': []}, {'The bucket is in the sunroom': ['Lucas', 'Chloe']}, {'Chloe moved the undershirt to the basket': ['Chloe', 'Lucas']}, {'The basket is in the sunroom': ['Lucas', 'Chloe']}, {'Lucas exited the sunroom': ['Lucas', 'Chloe']}]",Chloe loves the boots. The bucket is in the sunroom. Chloe moved the undershirt to the basket. The basket is in the sunroom. Lucas exited the sunroom,"['sunroom', 'broccoli', 'basket', 'bucket', 'boots']",basket
366,first_order_0_no_tom,first_order_no_tom,"['Emma entered the patio', 'Logan entered the patio', 'Chloe hates the strawberry', 'The scarf is in the treasure chest', 'The treasure chest is in the patio', 'Emma moved the scarf to the pantry', 'The pantry is in the patio', 'Logan exited the patio', 'Emma likes the trousers']",Where will Emma look for the scarf?,Emma,,"[['Emma'], ['Logan', 'Emma'], ['Chloe'], ['Emma', 'Logan'], ['Emma', 'Logan'], ['Emma', 'Logan'], ['Emma', 'Logan'], ['Logan', 'Emma'], ['Emma']]","[{'Emma entered the patio': ['Emma']}, {'Logan entered the patio': ['Logan', 'Emma']}, {'Chloe hates the strawberry': ['Chloe']}, {'The scarf is in the treasure chest': ['Emma', 'Logan']}, {'The treasure chest is in the patio': ['Emma', 'Logan']}, {'Emma moved the scarf to the pantry': ['Emma', 'Logan']}, {'The pantry is in the patio': ['Emma', 'Logan']}, {'Logan exited the patio': ['Logan', 'Emma']}, {'Emma likes the trousers': ['Emma']}]",Emma entered the patio. Logan entered the patio. The scarf is in the treasure chest. The treasure chest is in the patio. Emma moved the scarf to the pantry. The pantry is in the patio. Logan exited the patio. Emma likes the trousers,"['pantry', 'patio', 'treasure chest', 'trousers', 'strawberry']",pantry
215,second_order_1_no_tom,second_order_no_tom,"['Lily hates the scarf', 'Charlotte entered the laundry', 'Lucas entered the laundry', 'Lily entered the laundry', 'The peach is in the box', 'The box is in the laundry', 'Lucas exited the laundry', 'Charlotte moved the peach to the envelope', 'The envelope is in the laundry', 'Lily exited the laundry']",Where does Lily think that Charlotte searches for the peach?,Lily,Charlotte,"[['Lily'], ['Charlotte'], ['Lucas', 'Charlotte'], ['Lily', 'Charlotte', 'Lucas'], ['Charlotte', 'Lucas', 'Lily'], ['Charlotte', 'Lucas', 'Lily'], ['Lucas', 'Charlotte', 'Lily'], ['Charlotte', 'Lily'], ['Charlotte', 'Lily'], ['Lily', 'Charlotte']]","[{'Lily hates the scarf': ['Lily']}, {'Charlotte entered the laundry': ['Charlotte']}, {'Lucas entered the laundry': ['Lucas', 'Charlotte']}, {'Lily entered the laundry': ['Lily', 'Charlotte', 'Lucas']}, {'The peach is in the box': ['Charlotte', 'Lucas', 'Lily']}, {'The box is in the laundry': ['Charlotte', 'Lucas', 'Lily']}, {'Lucas exited the laundry': ['Lucas', 'Charlotte', 'Lily']}, {'Charlotte moved the peach to the envelope': ['Charlotte', 'Lily']}, {'The envelope is in the laundry': ['Charlotte', 'Lily']}, {'Lily exited the laundry': ['Lily', 'Charlotte']}]",Lily entered the laundry. The peach is in the box. The box is in the laundry. Lucas exited the laundry. Charlotte moved the peach to the envelope. The envelope is in the laundry. Lily exited the laundry,"['laundry', 'box', 'envelope', 'scarf']",envelope
244,second_order_1_no_tom,second_order_no_tom,"['Sophia entered the attic', 'Noah entered the crawlspace', 'Oliver entered the crawlspace', 'The scarf is in the cupboard', 'The cupboard is in the crawlspace', 'Noah moved the scarf to the bottle', 'The bottle is in the crawlspace', 'Sophia exited the attic', 'Oliver exited the crawlspace', 'Noah loves the t-shirt', 'Noah exited the crawlspace', 'Oliver entered the crawlspace']",Where does Oliver think that Noah searches for the scarf?,Oliver,Noah,"[['Sophia'], ['Noah'], ['Oliver', 'Noah'], ['Noah', 'Oliver'], ['Noah', 'Oliver'], ['Noah', 'Oliver'], ['Noah', 'Oliver'], ['Sophia'], ['Oliver', 'Noah'], ['Noah'], ['Noah'], ['Oliver']]","[{'Sophia entered the attic': ['Sophia']}, {'Noah entered the crawlspace': ['Noah']}, {'Oliver entered the crawlspace': ['Oliver', 'Noah']}, {'The scarf is in the cupboard': ['Noah', 'Oliver']}, {'The cupboard is in the crawlspace': ['Noah', 'Oliver']}, {'Noah moved the scarf to the bottle': ['Noah', 'Oliver']}, {'The bottle is in the crawlspace': ['Noah', 'Oliver']}, {'Sophia exited the attic': ['Sophia']}, {'Oliver exited the crawlspace': ['Oliver', 'Noah']}, {'Noah loves the t-shirt': ['Noah']}, {'Noah exited the crawlspace': ['Noah']}, {'Oliver entered the crawlspace': ['Oliver']}]",Oliver entered the crawlspace. The scarf is in the cupboard. The cupboard is in the crawlspace. Noah moved the scarf to the bottle. The bottle is in the crawlspace. Oliver exited the crawlspace,"['attic', 'crawlspace', 'cupboard', 't-shirt', 'bottle']",bottle
1146,second_order_1_tom,second_order_tom,"['Sophia entered the back yard', 'Lily entered the back yard', 'The undershirt is in the envelope', 'The envelope is in the back yard', 'Sophia exited the back yard', 'Jacob entered the bedroom', 'Lily moved the undershirt to the bathtub', 'The bathtub is in the back yard']",Where does Lily think that Sophia searches for the undershirt?,Lily,Sophia,"[['Sophia'], ['Lily', 'Sophia'], ['Sophia', 'Lily'], ['Sophia', 'Lily'], ['Sophia', 'Lily'], ['Jacob'], ['Lily'], ['Lily']]","[{'Sophia entered the back yard': ['Sophia']}, {'Lily entered the back yard': ['Lily', 'Sophia']}, {'The undershirt is in the envelope': ['Sophia', 'Lily']}, {'The envelope is in the back yard': ['Sophia', 'Lily']}, {'Sophia exited the back yard': ['Sophia', 'Lily']}, {'Jacob entered the bedroom': ['Jacob']}, {'Lily moved the undershirt to the bathtub': ['Lily']}, {'The bathtub is in the back yard': ['Lily']}]",Lily entered the back yard. The undershirt is in the envelope. The envelope is in the back yard. Sophia exited the back yard,"['bathtub', 'envelope', 'bedroom', 'back yard']",envelope
355,second_order_1_no_tom,second_order_no_tom,"['Owen entered the lounge', 'Hannah entered the lounge', 'The raincoat is in the bucket', 'The bucket is in the lounge', 'Logan entered the crawlspace', 'Owen moved the raincoat to the container', 'The container is in the lounge', 'Hannah exited the lounge', 'Owen hates the pajamas', 'Owen exited the lounge', 'Hannah entered the lounge']",Where does Hannah think that Owen searches for the raincoat?,Hannah,Owen,"[['Owen'], ['Hannah', 'Owen'], ['Owen', 'Hannah'], ['Owen', 'Hannah'], ['Logan'], ['Owen', 'Hannah'], ['Owen', 'Hannah'], ['Hannah', 'Owen'], ['Owen'], ['Owen'], ['Hannah']]","[{'Owen entered the lounge': ['Owen']}, {'Hannah entered the lounge': ['Hannah', 'Owen']}, {'The raincoat is in the bucket': ['Owen', 'Hannah']}, {'The bucket is in the lounge': ['Owen', 'Hannah']}, {'Logan entered the crawlspace': ['Logan']}, {'Owen moved the raincoat to the container': ['Owen', 'Hannah']}, {'The container is in the lounge': ['Owen', 'Hannah']}, {'Hannah exited the lounge': ['Hannah', 'Owen']}, {'Owen hates the pajamas': ['Owen']}, {'Owen exited the lounge': ['Owen']}, {'Hannah entered the lounge': ['Hannah']}]",Hannah entered the lounge. The raincoat is in the bucket. The bucket is in the lounge. Owen moved the raincoat to the container. The container is in the lounge. Hannah exited the lounge,"['pajamas', 'bucket', 'crawlspace', 'lounge', 'container']",container
211,first_order_1_no_tom,first_order_no_tom,"['Isla likes the underclothes', 'Jack entered the study', 'Amelia entered the study', 'Isla hates the corn', 'The broccoli is in the box', 'The box is in the study', 'Amelia moved the broccoli to the basket', 'The basket is in the study', 'Jack exited the study', 'Isla entered the study', 'Amelia exited the study', 'Jack entered the kitchen']",Where will Amelia look for the broccoli?,Amelia,,"[['Isla'], ['Jack'], ['Amelia', 'Jack'], ['Isla'], ['Jack', 'Amelia'], ['Jack', 'Amelia'], ['Amelia', 'Jack'], ['Jack', 'Amelia'], ['Jack', 'Amelia'], ['Isla', 'Amelia'], ['Amelia', 'Isla'], ['Jack']]","[{'Isla likes the underclothes': ['Isla']}, {'Jack entered the study': ['Jack']}, {'Amelia entered the study': ['Amelia', 'Jack']}, {'Isla hates the corn': ['Isla']}, {'The broccoli is in the box': ['Jack', 'Amelia']}, {'The box is in the study': ['Jack', 'Amelia']}, {'Amelia moved the broccoli to the basket': ['Amelia', 'Jack']}, {'The basket is in the study': ['Jack', 'Amelia']}, {'Jack exited the study': ['Jack', 'Amelia']}, {'Isla entered the study': ['Isla', 'Amelia']}, {'Amelia exited the study': ['Amelia', 'Isla']}, {'Jack entered the kitchen': ['Jack']}]",Amelia entered the study. The broccoli is in the box. The box is in the study. Amelia moved the broccoli to the basket. The basket is in the study. Jack exited the study. Isla entered the study. Amelia exited the study,"['study', 'kitchen', 'basket', 'underclothes', 'corn', 'box']",basket
1090,second_order_0_tom,second_order_tom,"['Hunter entered the back yard', 'William entered the back yard', 'The hat is in the crate', 'The crate is in the back yard', 'William likes the cap', 'Hunter hates the orange', 'William exited the back yard', 'Hannah entered the closet', 'Hannah exited the closet', 'Hunter moved the hat to the bottle', 'The bottle is in the back yard', 'Hunter exited the back yard', 'William entered the closet']",Where does Hunter think that William searches for the hat?,Hunter,William,"[['Hunter'], ['William', 'Hunter'], ['Hunter', 'William'], ['Hunter', 'William'], ['William'], ['Hunter'], ['William', 'Hunter'], ['Hannah'], ['Hannah'], ['Hunter'], ['Hunter'], ['Hunter'], ['William']]","[{'Hunter entered the back yard': ['Hunter']}, {'William entered the back yard': ['William', 'Hunter']}, {'The hat is in the crate': ['Hunter', 'William']}, {'The crate is in the back yard': ['Hunter', 'William']}, {'William likes the cap': ['William']}, {'Hunter hates the orange': ['Hunter']}, {'William exited the back yard': ['William', 'Hunter']}, {'Hannah entered the closet': ['Hannah']}, {'Hannah exited the closet': ['Hannah']}, {'Hunter moved the hat to the bottle': ['Hunter']}, {'The bottle is in the back yard': ['Hunter']}, {'Hunter exited the back yard': ['Hunter']}, {'William entered the closet': ['William']}]",William entered the back yard. The hat is in the crate. The crate is in the back yard. William exited the back yard,"['orange', 'crate', 'cap', 'bottle', 'closet', 'back yard']",crate
31,first_order_0_tom,first_order_tom,"['Oliver entered the patio', 'Elizabeth entered the patio', 'The asparagus is in the cupboard', 'The cupboard is in the patio', 'Avery entered the den', 'Avery exited the den', 'Oliver exited the patio', 'Elizabeth dislikes the corn', 'Elizabeth moved the asparagus to the bathtub', 'The bathtub is in the patio']",Where will Oliver look for the asparagus?,Oliver,,"[['Oliver'], ['Elizabeth', 'Oliver'], ['Oliver', 'Elizabeth'], ['Oliver', 'Elizabeth'], ['Avery'], ['Avery'], ['Oliver', 'Elizabeth'], ['Elizabeth'], ['Elizabeth'], ['']]","[{'Oliver entered the patio': ['Oliver']}, {'Elizabeth entered the patio': ['Elizabeth', 'Oliver']}, {'The asparagus is in the cupboard': ['Oliver', 'Elizabeth']}, {'The cupboard is in the patio': ['Oliver', 'Elizabeth']}, {'Avery entered the den': ['Avery']}, {'Avery exited the den': ['Avery']}, {'Oliver exited the patio': ['Oliver', 'Elizabeth']}, {'Elizabeth dislikes the corn': ['Elizabeth']}, {'Elizabeth moved the asparagus to the bathtub': ['Elizabeth']}, {'The bathtub is in the patio': []}]",Oliver entered the patio. Elizabeth entered the patio. The asparagus is in the cupboard. The cupboard is in the patio. Oliver exited the patio,"['patio', 'corn', 'cupboard', 'bathtub', 'den']",cupboard
338,second_order_0_no_tom,second_order_no_tom,"['Abigail entered the back yard', 'William entered the back yard', 'The radish is in the cupboard', 'The cupboard is in the back yard', 'William moved the radish to the bucket', 'The bucket is in the back yard', 'Owen entered the back yard', 'Abigail exited the back yard', 'William exited the back yard', 'William hates the tomato', 'Abigail entered the back yard']",Where does Abigail think that William searches for the radish?,Abigail,William,"[['Abigail'], ['William', 'Abigail'], ['Abigail', 'William'], ['Abigail', 'William'], ['William', 'Abigail'], ['Abigail', 'William'], ['Owen', 'Abigail', 'William'], ['Abigail', 'William', 'Owen'], ['William', 'Owen'], ['William'], ['Abigail', 'Owen']]","[{'Abigail entered the back yard': ['Abigail']}, {'William entered the back yard': ['William', 'Abigail']}, {'The radish is in the cupboard': ['Abigail', 'William']}, {'The cupboard is in the back yard': ['Abigail', 'William']}, {'William moved the radish to the bucket': ['William', 'Abigail']}, {'The bucket is in the back yard': ['Abigail', 'William']}, {'Owen entered the back yard': ['Owen', 'Abigail', 'William']}, {'Abigail exited the back yard': ['Abigail', 'William', 'Owen']}, {'William exited the back yard': ['William', 'Owen']}, {'William hates the tomato': ['William']}, {'Abigail entered the back yard': ['Abigail', 'Owen']}]",William entered the back yard. The radish is in the cupboard. The cupboard is in the back yard. William moved the radish to the bucket. The bucket is in the back yard. Owen entered the back yard. Abigail exited the back yard,"['tomato', 'bucket', 'cupboard', 'back yard']",bucket
597,second_order_1_no_tom,second_order_no_tom,"['Aiden entered the den', 'Emma entered the den', 'The trousers is in the envelope', 'The envelope is in the den', 'Emma moved the trousers to the suitcase', 'The suitcase is in the den', 'Isabella hates the eggplant', 'Isabella entered the back yard', 'Aiden exited the den', 'Emma exited the den', 'Aiden entered the den', 'Emma loves the plum']",Where does Emma think that Aiden searches for the trousers?,Emma,Aiden,"[['Aiden'], ['Emma', 'Aiden'], ['Aiden', 'Emma'], ['Aiden', 'Emma'], ['Emma', 'Aiden'], ['Aiden', 'Emma'], ['Isabella'], ['Isabella'], ['Aiden', 'Emma'], ['Emma'], ['Aiden'], ['Emma']]","[{'Aiden entered the den': ['Aiden']}, {'Emma entered the den': ['Emma', 'Aiden']}, {'The trousers is in the envelope': ['Aiden', 'Emma']}, {'The envelope is in the den': ['Aiden', 'Emma']}, {'Emma moved the trousers to the suitcase': ['Emma', 'Aiden']}, {'The suitcase is in the den': ['Aiden', 'Emma']}, {'Isabella hates the eggplant': ['Isabella']}, {'Isabella entered the back yard': ['Isabella']}, {'Aiden exited the den': ['Aiden', 'Emma']}, {'Emma exited the den': ['Emma']}, {'Aiden entered the den': ['Aiden']}, {'Emma loves the plum': ['Emma']}]",Emma entered the den. The trousers is in the envelope. The envelope is in the den. Emma moved the trousers to the suitcase. The suitcase is in the den. Aiden exited the den,"['plum', 'eggplant', 'envelope', 'suitcase', 'den', 'back yard']",suitcase
220,first_order_0_tom,first_order_tom,"['Abigail entered the office', 'Aiden entered the office', 'The coat is in the bathtub', 'The bathtub is in the office', 'Jacob entered the office', 'Abigail exited the office', 'Jacob exited the office', 'Aiden moved the coat to the bottle', 'The bottle is in the office', 'Aiden exited the office', 'Abigail entered the front yard']",Where will Abigail look for the coat?,Abigail,,"[['Abigail'], ['Aiden', 'Abigail'], ['Abigail', 'Aiden'], ['Abigail', 'Aiden'], ['Jacob', 'Abigail', 'Aiden'], ['Abigail', 'Aiden', 'Jacob'], ['Jacob', 'Aiden'], ['Aiden'], ['Aiden'], ['Aiden'], ['Abigail']]","[{'Abigail entered the office': ['Abigail']}, {'Aiden entered the office': ['Aiden', 'Abigail']}, {'The coat is in the bathtub': ['Abigail', 'Aiden']}, {'The bathtub is in the office': ['Abigail', 'Aiden']}, {'Jacob entered the office': ['Jacob', 'Abigail', 'Aiden']}, {'Abigail exited the office': ['Abigail', 'Aiden', 'Jacob']}, {'Jacob exited the office': ['Jacob', 'Aiden']}, {'Aiden moved the coat to the bottle': ['Aiden']}, {'The bottle is in the office': ['Aiden']}, {'Aiden exited the office': ['Aiden']}, {'Abigail entered the front yard': ['Abigail']}]",Abigail entered the office. Aiden entered the office. The coat is in the bathtub. The bathtub is in the office. Jacob entered the office. Abigail exited the office. Abigail entered the front yard,"['bathtub', 'bottle', 'front yard', 'office']",bathtub
2569,first_order_0_tom,first_order_tom,"['Logan entered the crawlspace', 'Owen entered the study', 'Alexander entered the study', 'Logan loves the lettuce', 'The underpants is in the crate', 'The crate is in the study', 'Owen exited the study', 'Owen entered the crawlspace', 'Alexander moved the underpants to the envelope', 'The envelope is in the study']",Where will Owen look for the underpants?,Owen,,"[['Logan'], ['Owen'], ['Alexander', 'Owen'], ['Logan'], ['Owen', 'Alexander'], ['Owen', 'Alexander'], ['Owen', 'Alexander'], ['Owen', 'Logan'], ['Alexander'], ['Alexander']]","[{'Logan entered the crawlspace': ['Logan']}, {'Owen entered the study': ['Owen']}, {'Alexander entered the study': ['Alexander', 'Owen']}, {'Logan loves the lettuce': ['Logan']}, {'The underpants is in the crate': ['Owen', 'Alexander']}, {'The crate is in the study': ['Owen', 'Alexander']}, {'Owen exited the study': ['Owen', 'Alexander']}, {'Owen entered the crawlspace': ['Owen', 'Logan']}, {'Alexander moved the underpants to the envelope': ['Alexander']}, {'The envelope is in the study': ['Alexander']}]",Owen entered the study. Alexander entered the study. The underpants is in the crate. The crate is in the study. Owen exited the study. Owen entered the crawlspace,"['study', 'crate', 'crawlspace', 'envelope', 'lettuce']",crate
538,second_order_1_no_tom,second_order_no_tom,"['Carter entered the playroom', 'Jackson entered the playroom', 'The raincoat is in the container', 'The container is in the playroom', 'Jackson moved the raincoat to the suitcase', 'The suitcase is in the playroom', 'Hunter entered the playroom', 'Carter exited the playroom']",Where does Jackson think that Carter searches for the raincoat?,Jackson,Carter,"[['Carter'], ['Jackson', 'Carter'], ['Carter', 'Jackson'], ['Carter', 'Jackson'], ['Jackson', 'Carter'], ['Carter', 'Jackson'], ['Hunter', 'Carter', 'Jackson'], ['Carter', 'Jackson', 'Hunter']]","[{'Carter entered the playroom': ['Carter']}, {'Jackson entered the playroom': ['Jackson', 'Carter']}, {'The raincoat is in the container': ['Carter', 'Jackson']}, {'The container is in the playroom': ['Carter', 'Jackson']}, {'Jackson moved the raincoat to the suitcase': ['Jackson', 'Carter']}, {'The suitcase is in the playroom': ['Carter', 'Jackson']}, {'Hunter entered the playroom': ['Hunter', 'Carter', 'Jackson']}, {'Carter exited the playroom': ['Carter', 'Jackson', 'Hunter']}]",Jackson entered the playroom. The raincoat is in the container. The container is in the playroom. Jackson moved the raincoat to the suitcase. The suitcase is in the playroom. Hunter entered the playroom. Carter exited the playroom,"['suitcase', 'playroom', 'container']",suitcase
127,second_order_0_no_tom,second_order_no_tom,"['Ethan entered the bathroom', 'Nathan entered the bathroom', 'The grapes is in the drawer', 'The drawer is in the bathroom', 'Elizabeth entered the back yard', 'Ethan moved the grapes to the cupboard', 'The cupboard is in the bathroom', 'Elizabeth exited the back yard', 'Nathan exited the bathroom']",Where does Ethan think that Nathan searches for the grapes?,Ethan,Nathan,"[['Ethan'], ['Nathan', 'Ethan'], ['Ethan', 'Nathan'], ['Ethan', 'Nathan'], ['Elizabeth'], ['Ethan', 'Nathan'], ['Ethan', 'Nathan'], ['Elizabeth'], ['Nathan', 'Ethan']]","[{'Ethan entered the bathroom': ['Ethan']}, {'Nathan entered the bathroom': ['Nathan', 'Ethan']}, {'The grapes is in the drawer': ['Ethan', 'Nathan']}, {'The drawer is in the bathroom': ['Ethan', 'Nathan']}, {'Elizabeth entered the back yard': ['Elizabeth']}, {'Ethan moved the grapes to the cupboard': ['Ethan', 'Nathan']}, {'The cupboard is in the bathroom': ['Ethan', 'Nathan']}, {'Elizabeth exited the back yard': ['Elizabeth']}, {'Nathan exited the bathroom': ['Nathan', 'Ethan']}]",Nathan entered the bathroom. The grapes is in the drawer. The drawer is in the bathroom. Ethan moved the grapes to the cupboard. The cupboard is in the bathroom. Nathan exited the bathroom,"['bathroom', 'drawer', 'cupboard', 'back yard']",cupboard
707,second_order_0_tom,second_order_tom,"['Alexander entered the kitchen', 'Ethan entered the kitchen', 'The sweatshirt is in the cupboard', 'The cupboard is in the kitchen', 'Ethan exited the kitchen', 'Ethan entered the crawlspace', 'Alexander moved the sweatshirt to the bottle', 'The bottle is in the kitchen', 'Chloe entered the crawlspace']",Where does Alexander think that Ethan searches for the sweatshirt?,Alexander,Ethan,"[['Alexander'], ['Ethan', 'Alexander'], ['Alexander', 'Ethan'], ['Alexander', 'Ethan'], ['Ethan', 'Alexander'], ['Ethan'], ['Alexander'], ['Alexander'], ['Chloe', 'Ethan']]","[{'Alexander entered the kitchen': ['Alexander']}, {'Ethan entered the kitchen': ['Ethan', 'Alexander']}, {'The sweatshirt is in the cupboard': ['Alexander', 'Ethan']}, {'The cupboard is in the kitchen': ['Alexander', 'Ethan']}, {'Ethan exited the kitchen': ['Ethan', 'Alexander']}, {'Ethan entered the crawlspace': ['Ethan']}, {'Alexander moved the sweatshirt to the bottle': ['Alexander']}, {'The bottle is in the kitchen': ['Alexander']}, {'Chloe entered the crawlspace': ['Chloe', 'Ethan']}]",Ethan entered the kitchen. The sweatshirt is in the cupboard. The cupboard is in the kitchen. Ethan exited the kitchen,"['kitchen', 'crawlspace', 'cupboard', 'bottle']",cupboard
506,first_order_1_no_tom,first_order_no_tom,"['Lucas entered the pantry', 'Mia entered the pantry', 'Mia dislikes the undershirt', 'The pants is in the bottle', 'The bottle is in the pantry', 'Lucas exited the pantry', 'Lucas entered the pantry', 'Mia moved the pants to the envelope', 'The envelope is in the pantry']",Where will Mia look for the pants?,Mia,,"[['Lucas'], ['Mia', 'Lucas'], ['Mia'], ['Lucas', 'Mia'], ['Lucas', 'Mia'], ['Lucas', 'Mia'], ['Lucas', 'Mia'], ['Mia', 'Lucas'], ['Mia', 'Lucas']]","[{'Lucas entered the pantry': ['Lucas']}, {'Mia entered the pantry': ['Mia', 'Lucas']}, {'Mia dislikes the undershirt': ['Mia']}, {'The pants is in the bottle': ['Lucas', 'Mia']}, {'The bottle is in the pantry': ['Lucas', 'Mia']}, {'Lucas exited the pantry': ['Lucas', 'Mia']}, {'Lucas entered the pantry': ['Lucas', 'Mia']}, {'Mia moved the pants to the envelope': ['Mia', 'Lucas']}, {'The envelope is in the pantry': ['Mia', 'Lucas']}]",Mia entered the pantry. Mia dislikes the undershirt. The pants is in the bottle. The bottle is in the pantry. Lucas exited the pantry. Lucas entered the pantry. Mia moved the pants to the envelope. The envelope is in the pantry,"['undershirt', 'pantry', 'bottle', 'envelope']",envelope
